Region,City,Below 5,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80 and over
R12,Cotabato City,14664,16269,16258,16911,13930,12664,10498,10007,7774,6061,4355,2974,2387,1532,985,528,532
R12,Cotabato (North Cotabato),71594,70354,70317,67617,54428,46097,40243,37890,33663,28494,22007,16542,12322,8809,6657,4020,4014
R12,Sarangani,31425,31457,30150,27621,21526,18107,16270,14996,12596,10335,7951,5832,4462,3034,2163,1231,1156
R12,South Cotabato (excluding General Santos City),48639,46002,44961,44269,37616,31211,28996,25567,22717,19002,15641,11944,9067,6453,4837,2900,3060
R12,General Santos City,30216,28338,27507,29504,28081,23016,20768,18260,16407,13207,10211,7102,5075,3120,2380,1456,1222
R12,Sultan Kudarat,40736,43214,43902,41566,35006,29476,26100,24243,21048,16458,12716,9321,7027,4829,3474,2101,2110
ARMM,Basilan,20565,22630,20354,16793,11969,11375,8944,9396,7061,5649,3849,2673,1979,1358,905,456,457
ARMM,Lanao Del Sur,66451,74396,66911,57124,40211,37134,31892,31247,23910,17886,11336,7848,5365,3559,2032,1058,811
ARMM,Maguindanao,62570,70784,66782,52028,38212,34554,32108,32391,24114,17820,11633,7461,5334,3321,1788,835,733
ARMM,Sulu,40086,51904,51920,45851,30688,28537,24537,27784,21300,16884,10567,6775,4377,2709,1344,637,511
ARMM,Tawi-Tawi,24845,26363,23146,19986,14910,15884,13209,13233,9669,7614,5114,3330,2268,1310,790,357,313
R13,Agusan Del Norte (excluding Butuan City),19110,19067,18785,17392,13964,11218,10011,9493,8920,8151,7086,5505,3960,3064,2528,1577,1377
R13,Butuan City,17145,16964,16409,16824,14454,11357,10311,9425,9029,7843,6642,5073,3851,2684,2157,1238,1099
R13,Agusan Del Sur,42168,41192,37875,35998,28520,22084,19343,17993,16608,14582,11861,8553,6199,4607,3408,1955,1677
R13,Surigao Del Norte,23264,24837,24861,23103,19129,15351,14160,13210,12228,11077,9294,7411,6019,5095,3795,2453,2213
R13,Surigao Del Sur,31717,31988,33149,30349,22814,18145,16607,15606,15219,13811,11704,9279,7092,5439,4241,2693,2462
R13,Dinagat Islands,6335,6987,7381,6659,5486,4166,3810,3762,3489,3109,2726,2285,2007,1656,1320,763,654
