Region,City,Below 5,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80 and over
R10,Camiguin,4737,4823,4770,4509,3594,2851,2732,2577,2553,2381,1973,1513,1256,967,710,452,350
R10,Lanao Del Norte (excluding Iligan City),41181,41674,39136,34228,26863,22370,20344,18205,16530,13373,10521,7845,5494,3371,2626,1471,1089
R10,Iligan City,17781,17654,18226,18661,15575,12901,11448,9895,9402,8569,7366,5695,3661,2124,1557,840,569
R10,Misamis Occidental,30898,31343,31800,30787,25257,20450,19941,18296,17904,15588,12981,10281,7649,5701,4335,2518,1968
R10,Misamis Oriental (excluding Cagayan De Oro City),49753,49162,46784,44815,38451,31105,28514,25709,23908,21574,17949,13867,9558,6430,5017,3058,2255
R10,Cagayan De Oro City,32941,31524,29992,31070,31200,26638,24284,20692,17979,15491,13388,10184,6794,3512,2573,1406,1185
R11,Compostela Valley,41201,41132,39142,40153,35626,28564,25741,22992,21804,18331,14795,11017,7699,5217,4068,2338,1812
R11,Davao Del Norte,55532,53614,50512,50338,47422,41009,37366,32176,28808,24722,21388,16646,11205,7078,5061,2899,2525
R11,Davao Del Sur (excluding Davao City),53873,50778,50873,47182,41439,34346,31445,29092,25368,22955,19012,14320,10240,6599,4890,2858,2512
R11,Davao City,83455,77251,73298,73049,72361,64016,58405,50437,42789,35389,30254,23798,16493,9998,6814,3686,3072
R11,Davao Oriental,31880,31359,31941,29083,23747,19253,18283,16700,15816,13601,11290,8428,6350,4365,3470,1981,1523
R12,Cotabato City,15131,16787,16183,15390,12702,11367,9808,8946,8020,6403,4573,3058,2298,1231,836,365,359
R12,Cotabato (North Cotabato),76180,74715,74239,70460,59142,49471,44546,40465,36488,30120,24215,17803,12566,8356,6197,3430,3047
R12,Sarangani,32974,32925,32083,28734,23840,20103,18009,16336,14184,11346,9070,6636,4785,3202,2212,1190,963
R12,South Cotabato (excluding General Santos City),51577,49513,47355,45933,40580,33951,31481,27842,24718,20118,16475,12193,8650,5777,4042,2243,1870
R12,General Santos City,32848,30062,28357,28293,27620,23619,21784,18934,16944,13653,10695,7647,4950,2962,1955,1059,834
R12,Sultan Kudarat,43405,45902,46535,42051,36189,30718,28366,25830,23605,18466,14031,10192,7420,4717,3250,1706,1377
ARMM,Basilan,22097,23600,21577,16120,11034,10179,8544,8816,7329,5731,4081,2818,1988,1217,918,451,409
ARMM,Lanao Del Sur,64880,72289,64630,51791,35105,30489,28149,28406,23817,19272,12786,8752,6024,3607,2294,1003,795
ARMM,Maguindanao,67063,77308,72031,54541,37347,31367,29971,30142,26473,19835,13643,8640,6173,3648,2255,1006,807
ARMM,Sulu,38678,50838,51478,43613,27660,23859,21428,25279,21309,17085,12527,7301,5197,2793,1654,645,535
ARMM,Tawi-Tawi,25596,27165,24235,20110,13887,13421,12477,12636,10324,8289,6208,4073,2688,1464,938,379,319
R13,Agusan Del Norte (excluding Butuan City),20848,20183,20170,18725,15867,12491,10949,9863,9456,8448,7292,5797,3996,2749,2177,1313,955
R13,Butuan City,18661,18335,17638,17076,14801,11768,10708,9785,9272,8072,6756,5037,3567,2371,1742,921,694
R13,Agusan Del Sur,44907,43341,40773,38991,32174,25092,21682,20123,18712,16103,13012,9349,6504,4470,3375,1891,1296
R13,Surigao Del Norte,24868,26327,26375,24950,20675,16846,15147,13823,12655,11310,9388,7064,5410,4399,2934,1689,1228
R13,Surigao Del Sur,33293,34063,34981,33373,26169,20367,18083,16536,15929,14611,12440,9584,6988,5086,3699,2205,1497
R13,Dinagat Islands,6791,7529,7520,7237,5747,4632,4025,3835,3504,3129,2603,2119,1815,1445,1207,635,435
